chain_name;hotel_name;description;email;country;city;street;number;room_type;capacity;price;room_number;checkin;checkout;status;rating;comment;review_date
Hilton;Hilton Mountain Resort;Mountain Resort description;info0@hotel.com;Ukraine;Odesa;Shevchenka;48;Single;4;103;460;2024-03-30;2024-04-04;pending;2;Good hotel;2024-03-30
Hilton;Hilton City Inn;City Inn description;info1@hotel.com;Ukraine;Lviv;Shevchenka;34;Suite;1;239;50;2024-05-04;2024-05-10;pending;2;Good hotel;2024-05-04
Hyatt;Hyatt Sea View;Sea View description;info2@hotel.com;Ukraine;Dnipro;Shevchenka;64;Single;1;189;210;2024-04-23;2024-04-29;confirmed;5;Good hotel;2024-04-23
Hyatt;Hyatt Mountain Resort;Mountain Resort description;info3@hotel.com;Ukraine;Lviv;Shevchenka;33;Double;3;195;64;2024-09-18;2024-09-23;checked-in;3;Good hotel;2024-09-18
Marriott;Marriott Mountain Resort;Mountain Resort description;info4@hotel.com;Ukraine;Kyiv;Shevchenka;41;Single;3;232;140;2024-07-28;2024-08-04;confirmed;1;Good hotel;2024-07-28
Hyatt;Hyatt Sea View;Sea View description;info5@hotel.com;Ukraine;Kyiv;Shevchenka;28;Single;3;125;435;2024-07-07;2024-07-08;checked-in;4;Good hotel;2024-07-07
Hilton;Hilton Grand Hotel;Grand Hotel description;info6@hotel.com;Ukraine;Dnipro;Shevchenka;37;Double;1;159;346;2024-12-24;2024-12-27;checked-out;2;Good hotel;2024-12-24
Marriott;Marriott Mountain Resort;Mountain Resort description;info7@hotel.com;Ukraine;Dnipro;Shevchenka;34;Suite;3;106;225;2024-05-10;2024-05-15;checked-in;2;Good hotel;2024-05-10
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info8@hotel.com;Ukraine;Dnipro;Shevchenka;26;Double;3;78;83;2024-06-25;2024-06-27;pending;4;Good hotel;2024-06-25
Accor;Accor Sea View;Sea View description;info9@hotel.com;Ukraine;Odesa;Shevchenka;79;Double;3;277;346;2024-07-15;2024-07-17;pending;1;Good hotel;2024-07-15
Radisson;Radisson City Inn;City Inn description;info10@hotel.com;Ukraine;Odesa;Shevchenka;95;Single;1;233;11;2024-10-22;2024-10-23;confirmed;5;Good hotel;2024-10-22
Marriott;Marriott Mountain Resort;Mountain Resort description;info11@hotel.com;Ukraine;Odesa;Shevchenka;82;Single;2;205;359;2024-01-02;2024-01-09;pending;1;Good hotel;2024-01-02
Marriott;Marriott Grand Hotel;Grand Hotel description;info12@hotel.com;Ukraine;Odesa;Shevchenka;17;Single;1;130;413;2024-08-17;2024-08-19;pending;2;Good hotel;2024-08-17
Hilton;Hilton Grand Hotel;Grand Hotel description;info13@hotel.com;Ukraine;Dnipro;Shevchenka;8;Single;4;218;445;2024-11-17;2024-11-21;checked-in;4;Good hotel;2024-11-17
Accor;Accor City Inn;City Inn description;info14@hotel.com;Ukraine;Dnipro;Shevchenka;56;Single;3;98;120;2024-03-19;2024-03-22;checked-out;1;Good hotel;2024-03-19
Hilton;Hilton Mountain Resort;Mountain Resort description;info15@hotel.com;Ukraine;Odesa;Shevchenka;5;Double;4;127;412;2024-04-29;2024-05-06;checked-in;3;Good hotel;2024-04-29
Hyatt;Hyatt Sea View;Sea View description;info16@hotel.com;Ukraine;Lviv;Shevchenka;61;Single;3;91;106;2024-08-24;2024-08-27;confirmed;2;Good hotel;2024-08-24
Hilton;Hilton City Inn;City Inn description;info17@hotel.com;Ukraine;Kyiv;Shevchenka;37;Suite;3;236;192;2024-12-29;2024-12-30;pending;2;Good hotel;2024-12-29
Hyatt;Hyatt Mountain Resort;Mountain Resort description;info18@hotel.com;Ukraine;Dnipro;Shevchenka;60;Double;3;226;22;2024-07-12;2024-07-16;checked-in;5;Good hotel;2024-07-12
Hilton;Hilton Grand Hotel;Grand Hotel description;info19@hotel.com;Ukraine;Odesa;Shevchenka;5;Single;3;169;431;2024-09-12;2024-09-18;pending;5;Good hotel;2024-09-12
Hilton;Hilton Mountain Resort;Mountain Resort description;info20@hotel.com;Ukraine;Odesa;Shevchenka;90;Single;1;291;372;2024-12-07;2024-12-10;pending;1;Good hotel;2024-12-07
Marriott;Marriott Grand Hotel;Grand Hotel description;info21@hotel.com;Ukraine;Dnipro;Shevchenka;42;Suite;1;143;352;2024-01-23;2024-01-24;checked-in;4;Good hotel;2024-01-23
Hyatt;Hyatt Grand Hotel;Grand Hotel description;info22@hotel.com;Ukraine;Odesa;Shevchenka;9;Double;1;212;58;2024-05-20;2024-05-23;pending;2;Good hotel;2024-05-20
