id;chain_name;hotel_name;description;email;country;city;street;number;room_type;capacity;price;room_number;checkin;checkout;status;rating;comment;review_date
0;Radisson;Radisson City Inn;City Inn description;info0@hotel.com;Ukraine;Odesa;Shevchenka;30;Double;4;185;266;2024-02-15;2024-02-16;checked-in;5;Good hotel;2024-02-15
1;Hyatt;Hyatt Sea View;Sea View description;info1@hotel.com;Ukraine;Kyiv;Shevchenka;5;Single;2;50;145;2024-06-03;2024-06-04;checked-in;2;Good hotel;2024-06-03
2;Radisson;Radisson City Inn;City Inn description;info2@hotel.com;Ukraine;Lviv;Shevchenka;38;Double;2;54;242;2024-07-21;2024-07-22;confirmed;1;Good hotel;2024-07-21
3;Radisson;Radisson Mountain Resort;Mountain Resort description;info3@hotel.com;Ukraine;Odesa;Shevchenka;59;Single;1;221;348;2024-02-17;2024-02-18;confirmed;5;Good hotel;2024-02-17
4;Marriott;Marriott Mountain Resort;Mountain Resort description;info4@hotel.com;Ukraine;Dnipro;Shevchenka;2;Suite;2;168;252;2024-08-22;2024-08-24;pending;2;Good hotel;2024-08-22
5;Hilton;Hilton Sea View;Sea View description;info5@hotel.com;Ukraine;Lviv;Shevchenka;81;Double;4;240;380;2024-12-08;2024-12-14;checked-in;1;Good hotel;2024-12-08
6;Hyatt;Hyatt Mountain Resort;Mountain Resort description;info6@hotel.com;Ukraine;Dnipro;Shevchenka;89;Single;3;192;103;2024-11-17;2024-11-21;checked-in;4;Good hotel;2024-11-17
7;Marriott;Marriott City Inn;City Inn description;info7@hotel.com;Ukraine;Lviv;Shevchenka;11;Single;2;57;413;2024-10-06;2024-10-07;confirmed;3;Good hotel;2024-10-06
8;Hilton;Hilton City Inn;City Inn description;info8@hotel.com;Ukraine;Lviv;Shevchenka;89;Double;1;233;153;2024-10-24;2024-10-30;pending;2;Good hotel;2024-10-24
9;Radisson;Radisson Mountain Resort;Mountain Resort description;info9@hotel.com;Ukraine;Kyiv;Shevchenka;7;Single;3;267;18;2024-05-30;2024-06-05;pending;3;Good hotel;2024-05-30
10;Radisson;Radisson Grand Hotel;Grand Hotel description;info10@hotel.com;Ukraine;Kyiv;Shevchenka;21;Single;2;189;130;2024-12-11;2024-12-12;checked-out;4;Good hotel;2024-12-11
11;Hyatt;Hyatt City Inn;City Inn description;info11@hotel.com;Ukraine;Dnipro;Shevchenka;21;Suite;4;102;263;2024-04-29;2024-05-03;checked-out;5;Good hotel;2024-04-29
12;Radisson;Radisson City Inn;City Inn description;info12@hotel.com;Ukraine;Lviv;Shevchenka;46;Double;2;172;41;2024-10-29;2024-11-01;pending;3;Good hotel;2024-10-29
13;Radisson;Radisson Mountain Resort;Mountain Resort description;info13@hotel.com;Ukraine;Kyiv;Shevchenka;53;Single;4;175;157;2024-07-02;2024-07-07;checked-out;1;Good hotel;2024-07-02
14;Hyatt;Hyatt Sea View;Sea View description;info14@hotel.com;Ukraine;Dnipro;Shevchenka;92;Suite;4;228;125;2024-03-15;2024-03-17;checked-out;5;Good hotel;2024-03-15
15;Radisson;Radisson Sea View;Sea View description;info15@hotel.com;Ukraine;Kyiv;Shevchenka;100;Single;4;250;456;2024-04-15;2024-04-22;confirmed;4;Good hotel;2024-04-15
16;Radisson;Radisson Mountain Resort;Mountain Resort description;info16@hotel.com;Ukraine;Lviv;Shevchenka;27;Suite;2;287;347;2024-09-02;2024-09-08;checked-in;5;Good hotel;2024-09-02
17;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info17@hotel.com;Ukraine;Dnipro;Shevchenka;73;Single;1;91;315;2024-04-09;2024-04-11;confirmed;1;Good hotel;2024-04-09
18;Hyatt;Hyatt Grand Hotel;Grand Hotel description;info18@hotel.com;Ukraine;Dnipro;Shevchenka;69;Double;4;146;267;2024-12-15;2024-12-19;confirmed;1;Good hotel;2024-12-15
19;Radisson;Radisson Mountain Resort;Mountain Resort description;info19@hotel.com;Ukraine;Lviv;Shevchenka;46;Suite;4;189;137;2024-04-03;2024-04-05;checked-out;3;Good hotel;2024-04-03
